colsample_bytree,combo,learning_rate,max_depth,min_samples_leaf,model_a_epochs,n_estimators_rf,n_estimators_xgb,rolling_windows,subsample,value
0.7,0,0.08,4,5,28,200,287,"(10, 30)",0.8,-inf
0.7,1,0.08,4,5,17,200,280,"(10, 30)",0.8,-inf
0.7,2,0.08,4,5,22,200,282,"(10, 30)",0.8,-inf
0.7,3,0.08,3,5,20,200,268,"(10, 30)",0.8,-inf
0.7,4,0.08,3,5,19,200,297,"(10, 30)",0.8,-inf
0.7,5,0.08,4,5,27,200,299,"(10, 30)",0.8,-inf
0.7,6,0.08,3,5,22,200,276,"(10, 30)",0.8,-inf
0.7,7,0.08,3,5,17,200,300,"(10, 30)",0.8,-inf
0.7,8,0.08,3,5,17,200,257,"(10, 30)",0.8,-inf
0.7,9,0.08,3,5,28,200,268,"(10, 30)",0.8,-inf
0.7,10,0.08,3,5,25,200,286,"(10, 30)",0.8,-inf
0.7,11,0.08,3,5,21,200,290,"(10, 30)",0.8,-inf
0.7,12,0.08,3,5,18,200,250,"(10, 30)",0.8,-inf
0.7,13,0.08,4,5,25,200,289,"(10, 30)",0.8,-inf
0.7,14,0.08,4,5,25,200,289,"(10, 30)",0.8,-inf
0.7,15,0.08,4,5,24,200,278,"(10, 30)",0.8,-inf
0.7,16,0.08,4,5,25,200,277,"(10, 30)",0.8,-inf
0.7,17,0.08,4,5,24,200,278,"(10, 30)",0.8,-inf
0.7,18,0.08,4,5,16,200,269,"(10, 30)",0.8,-inf
0.7,19,0.08,4,5,16,200,270,"(10, 30)",0.8,-inf
0.7,20,0.08,4,5,27,200,284,"(10, 30)",0.8,-inf
0.7,21,0.08,4,5,27,200,282,"(10, 30)",0.8,-inf
0.7,22,0.08,4,5,27,200,293,"(10, 30)",0.8,-inf
0.7,23,0.08,4,5,28,200,293,"(10, 30)",0.8,-inf
0.7,24,0.08,4,5,22,200,283,"(10, 30)",0.8,-inf
0.7,25,0.08,4,5,22,200,282,"(10, 30)",0.8,-inf
0.7,26,0.08,4,5,22,200,281,"(10, 30)",0.8,-inf
0.7,27,0.08,4,5,22,200,282,"(10, 30)",0.8,-inf
0.7,28,0.08,4,5,23,200,281,"(10, 30)",0.8,-inf
0.7,29,0.08,4,5,20,200,271,"(10, 30)",0.8,-inf
