colsample_bytree,combo,learning_rate,max_depth,min_samples_leaf,model_a_epochs,n_estimators_rf,n_estimators_xgb,rolling_windows,subsample,value
0.7,0,0.08392191215209875,4,6,16,155,211,"(10, 30)",0.8,-inf
0.7,1,0.07722297508764807,4,4,25,211,232,"(10, 30)",0.8,-inf
0.7,2,0.060649371505218555,4,5,24,230,284,"(10, 30)",0.8,-inf
0.7,3,0.0829698754479286,5,4,16,193,233,"(10, 30)",0.8,-inf
0.7,4,0.07914736387059898,5,6,23,196,266,"(10, 30)",0.8,-inf
0.7,5,0.08725856602549242,4,5,19,161,289,"(10, 30)",0.8,-inf
0.7,6,0.08507861948524546,3,4,17,172,225,"(10, 30)",0.8,-inf
0.7,7,0.0703790041394291,4,5,24,161,298,"(10, 30)",0.8,-inf
0.7,8,0.06848166500193509,3,4,16,213,296,"(10, 30)",0.8,-inf
0.7,9,0.09845442042079512,4,4,23,157,279,"(10, 30)",0.8,-inf
0.7,10,0.07871909976438424,3,4,20,180,219,"(10, 30)",0.8,-inf
0.7,11,0.06709761515953144,4,4,17,153,213,"(10, 30)",0.8,-inf
