colsample_bytree,combo,learning_rate,max_depth,min_samples_leaf,model_a_epochs,n_estimators_rf,n_estimators_xgb,rolling_windows,subsample,value
0.7,0,0.08381822925518599,3,5,15,226,296,"(10, 30)",0.8,-inf
0.7,1,0.06799130994259688,5,4,26,224,203,"(10, 30)",0.8,-inf
0.7,2,0.09357267107679461,5,6,18,166,280,"(10, 30)",0.8,-inf
0.7,3,0.07439745894669132,5,4,14,219,259,"(10, 30)",0.8,-inf
0.7,4,0.06022002918020956,5,5,19,191,241,"(10, 30)",0.8,-inf
0.7,5,0.07888840855833112,4,6,26,161,265,"(10, 30)",0.8,-inf
0.7,6,0.07237661629402825,3,5,26,157,246,"(10, 30)",0.8,-inf
0.7,7,0.08999062367792013,3,5,19,198,260,"(10, 30)",0.8,-inf
0.7,8,0.08561366084784686,4,6,20,161,283,"(10, 30)",0.8,-inf
0.7,9,0.08179504828036438,3,6,22,195,207,"(10, 30)",0.8,-inf
0.7,10,0.09272790457509113,5,6,26,197,265,"(10, 30)",0.8,-inf
0.7,11,0.07990112639063641,3,4,22,156,240,"(10, 30)",0.8,-inf
